Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
58a994d6cb5551ea6fe1bae9ea1c9e3b19fb7851086cd7e49619b57c2e86b750,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
abb1798d53b9de70ba524110c38c87d8a6b4d32833e225b7822314c9304d1b90,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
c010737ec3fb53028c19187b380f59e30ca2818a881cba8cffa69f43d74d5aee,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
e240d6043ef6a2d0f137e99233ea81f87a5ac6fe609782d91a94c1bd87402fff,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
5b7a2f1c460df60e41e2b08a1a9fbb425f86abf5b395f61dd178e9a4a45f16f1,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
f96cbe2cb51a3ca7965162426b6165effef33ecb2e77e5febdb39f2f1634d60a,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
1119e26b8337dab4c4e784242146605eeedc23e2f597614c94e54c0de0cfd355,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
6e8d91e8604c36311925d6c60b4bd7ce1506c36f78a0feac8ca50a224b87e4ba,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
69ea8612d6c1a1107c2f4a1b63f5a2e067f39a541993752bb1c1662123e6b560,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
d920f3ea2ee023f6df0fcdad873131799e746b31b92aee12f6e241776e0842f7,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7210f4964a9c5beaec98fadaa6d12033fb08b12ffab6ff14661b5ae2c7ecd8d1,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
3b9d28326b622fae203e04f2d0b998d80016ec35693f55a7c2178ce750b81c2d,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
86c776ccab46fb2a46e46e1447ef596dfc140cca2622158ad00561958b5b392e,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
a3e241fe7236c04d465086286f2ba68895a88ef62dda4e8a4c25e2d6fc82e841,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
5aebc247248f630dce91ab35f7c8d28df3966cddf0f6f664761805f5ade78fae,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
8eddbfd5d7245ddf578b2529cadaa7e809180e64c59df1d1b4a44ed8a73fe902,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
e89945a4b9606ad59f3ea313988ac61721b37542a318b3327ece4ad4c650d6e2,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
984a2546f7ec40facbea338fc763154f317f3ac199848ee50a1fe1f685efd987,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
18aa9a482807f73a048f9a5e2b00c21beaeaa893febb20f88fd63197c69c9ab3,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7aece72cf4411fc74b3529bae07ed1fbdadfcbd93f123d5e79aa2707a0ef75cc,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
c639ca2fe1c864a2b4473a66ff8a38c5adf4b3fa1c4e052a42e5a9a274535aaa,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
b4a3afa69ed5fce5a2a9f1858506157823d972e5f66104982fe5cebbb0d5fdc3,2013-09,City of London Police,City of London Police,-0.098572,51.516767,On or near KING EDWARD STREET,E01000001,City of London 001A,Investigation complete; no suspect identified
e2ea4dc8f558306ebcaa52becacc07d3e6d3ac8cb38b736483489c475e11179f,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
3c16feed5fa93d2ed181c8f7f56764cc12f562d7feb46ac305d18c028cd4b33a,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ed0c74689577665c898214dccb6375e98d1ab15e4bba3389dbee04e0eb50a10d,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
3912bf17e37231ccf82abd747ecf8d46b907fb860cc9cecbbf4a2cfb409385df,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
52d7d55e5a4c0a285776667cfe8ffdca3f7f781e94bc5b6aa90719f4003853e2,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
bdba10da662795fb74617c1bb449f4c291947bae7d09f385b515776a7c0c72dc,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
c32a833e9c57415454b757a36ac58fe2013ad280e45a2ae0cb90c6467341faf8,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
9b1d32d662a777dd35c2c48aafd750557b7f0ecc5d6b3eafdca4c06f58c41783,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
bbd00bd9de99b68039b341e1cbe91b8c7554a8f7dfd24dd66aa1f56677116afd,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
cb80cddedaa8ae23ed079870eb813def84f18e23a1fc59da4cfaab06beb31e2b,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
2dc8e509525c857edc8c1cbf890c788d7848e5280749911e189a2bdf0842f7c2,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
b0437a5ba184e97abf14566153d4cde3555f92a1c04e260340fb3fb4cdc16638,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
0b4327392d46907155c6c6f218b091df8470bc701d05c82a83e889e2292a1c31,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
a68540b7b0475513881deb2fbb9b034a9327b0ca387278fcf57f335f418b1e44,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
d08887bd6251f13eca25bf1a7a0e989a853c16da237200febf268c0849ad5b08,2013-09,City of London Police,City of London Police,-0.100884,51.516966,On or near Hospital,E01032740,City of London 001G,Investigation complete; no suspect identified
e7e147f6b0ff7d7040f512367814cbd68d554e2e454fd47459cf7ad3b4d3cea5,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
e729988294b8c1aa44e906cdf676d7db4cb7069daf6fe4d2168ed5137dfa4284,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
fcc9870e32155281af7882d42323b9084b4817c7800b99dad6d9d3a1e21b10cf,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
d64b880615db2f044dac678ef188d56f2f1fcf27837294ccd27a6c21a01b35f5,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
49502b50f6d5a15cb35c7fc0da433d5a48e5301298025c950271894624b71014,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ac05b3cb788407977626b3c21d60b66ecbbf5bdfa794ff4285201be5791b6a70,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
fbc81a6d98e6a053705719736041cd47637c5156f7679cd9f5e87a029f9a0741,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
a6fb86f90021d221819a2c3a9e81aeb15aa05e8051f5bd67823a5cbafba57ebf,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
d75f0ddc6182b8901d829526ca13bedbe1eb15e671ecd5ba7e6ebf55f16d31ac,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
3e5ba8df605134e61dcbf0266da5de8ad1299083c6ae4685b44b8bfaa5b2e6f7,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
8f147ddaec9e30bc14afb90a54c04167795ac5aa8b10de663bf94b475b394b07,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
65bdb1c1565e7ce3cbc8645782945b393b498e0f107516085a3fa28a43543cc6,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
a738c9caaff846471cd5297e0529566c09d08c76c075201ab6f88a93eb51e2ba,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
d68a05697706d343d35c490fbb637a621b7b2a838f710e94e32f9630766a9668,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
8efa615041a715b51530173f2bc3cec13afd4c5a1dd5d8d67bd30594b5cba1f4,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
65aa770f1d20aa0505bf5caa31b23bbc8db8c9476eca65e76d6900ea1bd05b57,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
5d52cf58a12b58681ccc0e32c5fa75cc086b9b66fda453585be7df95328c1c28,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
1dd58922cfbe68ea7326da5eba60479f4693dcd3cfcdca006f1899be4c9eeba4,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
8deb080f9d2eb88f7d0616e346ccd24d97a5b105490330de53f0e87c09b5a9ee,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
560bc4f904d970969936a8516c42a7443b2e87a20cba7cab7670f0db5a3691a3,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
9eb83c08a466754fc2c299c2d02c754861e8d5fc4f18a8d81706c8c33e910a10,2013-09,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Investigation complete; no suspect identified
0e2d02a33d8654853b861f3acf2c573dc222b5d92307121414c68235ccda94c9,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
2250f34018b83792e01280088d05f327b021aa769182a0b5f790f3c1edd32c75,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
21e5a2c6d709272e9d46b5ae59c425c9ede9f54c9af9f6867fbad751aa377499,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
93ad455a0fc065c47b49238bde44f88c71e944c3c9d12e347cbbd606e513a76f,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
9686d5b705814c98b0ba22f16142416e52e41610d7c7a9515fe732fb49d54039,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ac4334485603d69b89b49ad255a2319e150932385759e0e9584741759340d264,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
73978454c57081b364ce7b2324f22877092bea014e59fff07df2ddd1fd9f1c2f,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
6f4214fb38aef0728af1369135969e568003082d420e8e8d24e1d26a9fe368ab,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
04062b7e1f83176090cf8f5eaacff77f73838053535d3685bc764dbda194c09c,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ec43eb0fd847b2047456ea4b00827fdd88db4922e52c2c891c76d780701db8b0,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
77a941f5cfa224c6348985205b660b825b6d33a757ba3d7f7415aa30126ab6f8,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
c27d4040ec7fcff290c80c1daa295a9f5e1ac31a174c553dfdaff7aee5ade623,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
33fad06fb675989922e97e85a04348a096ce0c23576b803609c4b050f860ea4a,2013-09,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Investigation complete; no suspect identified
